location,lat,lon
Perai,5.448252202788618,100.40989072114509
Kangar,6.5431152250508475,100.21642681577016
USM,5.356305302542178,100.3026313236406
Ipoh,4.604815092290702,101.09014120710374
Port Klang,3.058049500060403,101.45265705160178
Petaling Jaya,3.1283815939887583,101.59856066632713
Shah Alam,3.0732819655907115,101.51649310035405
Cheras,3.0496286753906783,101.76111210943718
Jerantut,3.977067372584182,102.38243802702438
Kuantan,3.8167827987993004,103.32951363802641
Kota Bahru,6.12662421113486,102.2424077755532
Kuala Terengganu,5.3296461,103.1383265
Melaka,2.189347314920807,102.24806562205558
Muar,2.061454364569564,102.5876864640022
Seremban,2.7248383452413143,101.93902991761414
Kota Tinggi,1.7281985306756311,103.90145574551487
Kuching,1.547476662891181,110.36862059896004
Bintulu,3.1662989878568872,113.0498304255048
Miri,4.3877431254982895,113.97574720181176
Kota Kinabalu,5.980088245754045,116.09207806627131
